,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change,selection_pressure,n
25,8,1,15289750938752280360161192797976421071,0.1000609384521633,1641,0.01,False,True,False,0.1,0.1
26,8,2,100258396731168733810861514947096166895,0.1002437538086532,1641,0.01,False,True,False,0.1,0.1
27,9,0,248794457747890978086676430744952960421,0.1,1845,0.01,False,True,False,0.1,0.1
28,9,1,235561741906884886793905629219165560016,0.1002710027100271,1845,0.01,False,True,False,0.1,0.1
29,9,2,200008121826973715262945694273156974825,0.0993495934959349,1845,0.01,False,True,False,0.1,0.1
30,10,0,172272247529522487898169642460594513645,0.0998046875,2048,0.01,False,True,False,0.1,0.1
31,10,1,168560540392271416159223488489398329928,0.099462890625,2048,0.01,False,True,False,0.1,0.1
32,10,2,187478651332793164101613390641563065228,0.099609375,2048,0.01,False,True,False,0.1,0.1
33,11,0,231986230104965584809656262111477263659,0.0999111900532859,2252,0.01,False,True,False,0.1,0.1
34,11,1,300592382252070447746784273789651397009,0.0999999999999999,2252,0.01,False,True,False,0.1,0.1
35,11,2,302377748463626170324422725656770935584,0.100177619893428,2252,0.01,False,True,False,0.1,0.1
36,12,0,275190297220948541061622576027680592690,0.0996742671009772,2456,0.01,False,True,False,0.1,0.1
37,12,1,91965699151377445759497974948467477157,0.0998371335504886,2456,0.01,False,True,False,0.1,0.1
38,12,2,239734965726583125817145053205428202156,0.1001628664495114,2456,0.01,False,True,False,0.1,0.1
39,13,0,152639140983627695253304773602294051229,0.1,2660,0.01,False,True,False,0.1,0.1
40,13,1,301936952945008185922604963735870123878,0.0998872180451127,2660,0.01,False,True,False,0.1,0.1
41,13,2,188856121452554425412701705127558684304,0.1001127819548872,2660,0.01,False,True,False,0.1,0.1
42,14,0,143842318710120247208614634223144488186,0.0996508379888268,2864,0.01,False,True,False,0.1,0.1
43,14,1,244898305874707838339481267711397631258,0.0998603351955307,2864,0.01,False,True,False,0.1,0.1
44,14,2,118284705975443423026000739074496350805,0.0998254189944134,2864,0.01,False,True,False,0.1,0.1
45,15,0,173105439047937017078737185647019355891,0.0996088657105606,3068,0.01,False,True,False,0.1,0.1
46,15,1,110592540780562089537331915027561033129,0.0997392438070404,3068,0.01,False,True,False,0.1,0.1
47,15,2,131563574747278774180387002678667308345,0.0997392438070404,3068,0.01,False,True,False,0.1,0.1
48,16,0,135206361177628470959251486978917135373,0.0999083129584352,3272,0.01,False,True,False,0.1,0.1
49,16,1,40283341363908549946307656785490066921,0.0998166259168704,3272,0.01,False,True,False,0.1,0.1
50,16,2,162435702110725447171995603453023404788,0.0999388753056234,3272,0.01,False,True,False,0.1,0.1
