,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change,selection_pressure
119,39,2,325724078850965068145184439124283515159,0.2840869128359688,7962,1.0,True,False,False,0.1
120,40,0,171047403542733654497909999290055700679,0.2857072872014679,8165,1.0,True,False,False,0.1
121,40,1,100182605822148677524755383771041262372,0.281506429883648,8165,1.0,True,False,False,0.1
122,40,2,174358063414393419067140245622944349037,0.2846295162278009,8165,1.0,True,False,False,0.1
123,41,0,107689158379003850185105415979984380398,0.2878121639383416,8369,1.0,True,False,False,0.1
124,41,1,175203689231022035223867348363456059387,0.2848368980762327,8369,1.0,True,False,False,0.1
125,41,2,160020007536701878955457198645469989163,0.28257856374716,8369,1.0,True,False,False,0.1
126,42,0,94639520047735551524323682227267570189,0.2803336055056553,8573,1.0,True,False,False,0.1
127,42,1,182657348956592802143696161976190897320,0.2786305843928577,8573,1.0,True,False,False,0.1
128,42,2,289837155761274233940656487122743451797,0.2789805202379544,8573,1.0,True,False,False,0.1
129,43,0,29025478808358245533500175579990619432,0.2761421898142852,8777,1.0,True,False,False,0.1
130,43,1,143589514391621032661074003353531086828,0.2770650563974007,8777,1.0,True,False,False,0.1
131,43,2,184223953495329295671032899815716468315,0.2776119402985055,8777,1.0,True,False,False,0.1
132,44,0,245415807993455877464432092349092399851,0.2742678988976685,8981,1.0,True,False,False,0.1
133,44,1,304379959548322781701162539044620152818,0.274902572096646,8981,1.0,True,False,False,0.1
134,44,2,255319464693757027060878593715273613749,0.2747689566863366,8981,1.0,True,False,False,0.1
135,45,0,128166998225446575292624902045331023858,0.2740119760479012,9185,1.0,True,False,False,0.1
136,45,1,291076917006451539084853649653904535662,0.273162765378331,9185,1.0,True,False,False,0.1
137,45,2,155819414496091858246489978516347232324,0.2739357648339658,9185,1.0,True,False,False,0.1
138,46,0,78657673472280395973827338884938159287,0.2715305144317789,9389,1.0,True,False,False,0.1
139,46,1,213960802723225393973484703657536450510,0.2715092129087189,9389,1.0,True,False,False,0.1
140,46,2,252129484538786828880318202429114220382,0.2717541804238973,9389,1.0,True,False,False,0.1
141,47,0,63705206288840660574997299170552826688,0.2703325341394741,9593,1.0,True,False,False,0.1
142,47,1,180611350884946582409424086353297970859,0.2711873240904795,9593,1.0,True,False,False,0.1
143,47,2,23868367153893082517726970234889113085,0.2731679349525673,9593,1.0,True,False,False,0.1
144,48,0,226840501050024302634208361193696846299,0.2692661018679153,9797,1.0,True,False,False,0.1
145,48,1,109817584253357251614412259671377522299,0.2666530570582797,9797,1.0,True,False,False,0.1
146,48,2,170579737537424159318973294761037173579,0.2699193630703245,9797,1.0,True,False,False,0.1
147,49,0,218294022286850841677566612022166625843,0.2691599999999952,10000,1.0,True,False,False,0.1
148,49,1,201084800150655127727885847298289045753,0.2663799999999979,10000,1.0,True,False,False,0.1
149,49,2,22948992111620318013718989537370856922,0.2690099999999958,10000,1.0,True,False,False,0.1
150,0,0,123424877080321267264929333412870193304,1.0,10,1.0,True,False,False,0.2
151,0,1,168284278250965004685054268121557938820,1.0,10,1.0,True,False,False,0.2
152,0,2,194234530731128375533098067751879858285,1.0,10,1.0,True,False,False,0.2
