,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change
38,12,2,329375066901890830324996210461686434182,0.217671009771988,2456,1.0,False,False,True
39,13,0,85997487706807481843447364536260323538,0.1748496240601513,2660,1.0,False,False,True
40,13,1,240133605952669120631426790224130831198,0.1820676691729333,2660,1.0,False,False,True
41,13,2,80514556172095077896553621025189271035,0.2019172932330842,2660,1.0,False,False,True
42,14,0,14775728930646771670883332064628295389,0.170286312849163,2864,1.0,False,False,True
43,14,1,197510645952577086921378425943109549292,0.2092877094972089,2864,1.0,False,False,True
44,14,2,184300222136554456414127640465074640764,0.2006983240223477,2864,1.0,False,False,True
45,15,0,143548051934904877286318283970741019479,0.1941003911342911,3068,1.0,False,False,True
46,15,1,264539200886599863182955657181227312572,0.2054758800521533,3068,1.0,False,False,True
47,15,2,147821481780158383821100011227205897265,0.2038787483702756,3068,1.0,False,False,True
48,16,0,68175134367251836177586300700611685134,0.202781173594134,3272,1.0,False,False,True
49,16,1,73593869569625085827959867026066430598,0.2058679706601487,3272,1.0,False,False,True
50,16,2,189221163857945770027479948768851362535,0.1986858190709067,3272,1.0,False,False,True
51,17,0,175873921962151553405698283753931319220,0.1920310701956299,3476,1.0,False,False,True
52,17,1,251154807903428168039460290336027233590,0.1871403912543178,3476,1.0,False,False,True
53,17,2,25250251376209860921181847193107309886,0.2014959723820508,3476,1.0,False,False,True
54,18,0,32126392241383469118666918341959600102,0.1894021739130464,3680,1.0,False,False,True
55,18,1,85253520052898894962741303584492271918,0.1894293478260898,3680,1.0,False,False,True
56,18,2,267714882941779573769608693678841680114,0.1950815217391333,3680,1.0,False,False,True
57,19,0,134294906234282437386109167253459594061,0.1915036045314136,3884,1.0,False,False,True
58,19,1,234314798209503607354312257946940844944,0.1781153450051519,3884,1.0,False,False,True
59,19,2,128389407987066070248510578067391284426,0.1966529351184373,3884,1.0,False,False,True
60,20,0,82798415823966570486320802023712556482,0.198752140934674,4087,1.0,False,False,True
61,20,1,196757046343163047493997693913804575345,0.1967702471250339,4087,1.0,False,False,True
62,20,2,234583697273824945460334479600925996537,0.1883533153902653,4087,1.0,False,False,True
63,21,0,25706889252519045697767427827879687672,0.1938009787928254,4291,1.0,False,False,True
64,21,1,139976958144530137237599776463058855131,0.2007457469121446,4291,1.0,False,False,True
65,21,2,285043887665186153144436782077592667114,0.1993008622698704,4291,1.0,False,False,True
66,22,0,172529137918854075004178460800824038371,0.1890989988876562,4495,1.0,False,False,True
67,22,1,11007671080411385274921327352607000203,0.199733036707456,4495,1.0,False,False,True
68,22,2,13724191705645479140467436112732287953,0.2055617352614048,4495,1.0,False,False,True
69,23,0,37982501743393473844316949975325755719,0.1974675462864471,4699,1.0,False,False,True
70,23,1,148879723140236589464508459264830532696,0.1922749521174751,4699,1.0,False,False,True
71,23,2,284094966095170565297813850465131373542,0.2132581400297971,4699,1.0,False,False,True
72,24,0,46262863597784328993780597211923030636,0.2022435243728365,4903,1.0,False,False,True
73,24,1,339618759530947571134462221434775117562,0.185906587803389,4903,1.0,False,False,True
74,24,2,246285751056287014473084146688436726339,0.1987966551091206,4903,1.0,False,False,True
75,25,0,171427575427023919024358496567679653080,0.2168396318778169,5107,1.0,False,False,True
76,25,1,226869134336470241853923545314769129357,0.2077932249853175,5107,1.0,False,False,True
77,25,2,147581525799641259636736975158037148178,0.2040728411983586,5107,1.0,False,False,True
78,26,0,192725056651650616946047960184719012461,0.1927132366785954,5311,1.0,False,False,True
79,26,1,63414770580271560538815327399261727898,0.2080964036904558,5311,1.0,False,False,True
80,26,2,194774519721446417742568571562806408383,0.1925061193748861,5311,1.0,False,False,True
81,27,0,293935939316117034904507508011520781040,0.1968449682683616,5515,1.0,False,False,True
82,27,1,329099033351531335841405219784457756760,0.1891931097008194,5515,1.0,False,False,True
83,27,2,249042600894921621838933765207638217343,0.2013599274705371,5515,1.0,False,False,True
84,28,0,246642172362457220050233173219335022199,0.1880573526840384,5719,1.0,False,False,True
85,28,1,168718523322377332358561938198625464038,0.2091449554117866,5719,1.0,False,False,True
86,28,2,7275773483915204193926985919596078967,0.2043364224514795,5719,1.0,False,False,True
87,29,0,284701506824364164273436164170682262314,0.1945973324328908,5923,1.0,False,False,True
88,29,1,85765786059298470952222677762345272227,0.192723282120549,5923,1.0,False,False,True
89,29,2,233512302316743534294516000099311620978,0.2104676684112796,5923,1.0,False,False,True
90,30,0,73837130630199078248008211115101852994,0.2022690173032977,6126,1.0,False,False,True
91,30,1,229877223904599229064765367727442932734,0.1995102840352609,6126,1.0,False,False,True
92,30,2,62387344307551325237222977769488574847,0.2120796604635976,6126,1.0,False,False,True
93,31,0,78140432904095328347150777836746173560,0.1987361769352286,6330,1.0,False,False,True
94,31,1,174786993054319100508474904391290916823,0.1942654028436029,6330,1.0,False,False,True
95,31,2,165339453334481380162841468926896621643,0.20086887835703,6330,1.0,False,False,True
96,32,0,61986428324794709129466792813120784229,0.1921487603305791,6534,1.0,False,False,True
97,32,1,217465139139337364855879286919365542221,0.198423630241812,6534,1.0,False,False,True
98,32,2,297794713055414207096092054575895875328,0.2028466483011937,6534,1.0,False,False,True
99,33,0,314364971311220343302306793609676258713,0.2001038883941823,6738,1.0,False,False,True
